Date,Open,High,Low,Close,Volume,Adj Close
2011-08-16,0.11,0.13,0.11,0.11,000,0.11
2011-08-15,0.10,0.13,0.10,0.10,000,0.10
2011-08-12,0.09,0.13,0.09,0.09,000,0.09
2011-08-11,0.09,0.13,0.09,0.09,000,0.09
2011-08-10,0.10,0.13,0.10,0.10,000,0.10
2011-08-08,0.08,0.13,0.08,0.08,000,0.08
2011-08-05,0.11,0.13,0.11,0.11,000,0.11
2011-08-04,0.11,0.13,0.11,0.11,000,0.11
2011-08-03,0.11,0.13,0.11,0.11,000,0.11
2011-08-02,0.11,0.13,0.11,0.11,000,0.11
2011-08-01,0.11,0.13,0.11,0.11,000,0.11
2011-07-29,0.12,0.13,0.12,0.12,000,0.12
2011-07-28,0.12,0.13,0.12,0.12,000,0.12
2011-07-27,0.12,0.13,0.12,0.12,000,0.12
2011-07-26,0.12,0.13,0.12,0.12,000,0.12
2011-07-25,0.13,0.13,0.13,0.13,56000,0.13
